age,income,loan_amount,loan_term_months,credit_score,num_open_accounts,num_derogatory_marks,delinquencies_2y,debt_to_income,employment_length_years,home_ownership,default
50,73500.0,1000.0,36,607.0,3,0,1,1.4,5,RENT,0
60,66200.0,31500.0,48,772.0,5,1,0,47.6,8,MORTGAGE,0
70,62800.0,20800.0,36,771.0,2,0,1,33.1,13,MORTGAGE,0
30,69700.0,14900.0,36,749.0,6,1,0,21.4,20,OTHER,0
59,23100.0,13600.0,36,596.0,2,0,1,58.9,18,MORTGAGE,0
60,53200.0,8000.0,36,713.0,3,0,0,15.0,10,OWN,0
61,69200.0,21600.0,12,637.0,1,0,0,31.2,26,RENT,0
23,61500.0,2600.0,48,783.0,2,0,0,4.2,5,OWN,1
61,43500.0,2100.0,48,573.0,2,0,1,4.8,14,MORTGAGE,0
73,57300.0,10000.0,48,735.0,4,0,0,17.5,16,OWN,0
74,63000.0,11500.0,60,696.0,3,0,1,18.3,27,MORTGAGE,0
60,25100.0,13200.0,36,702.0,3,0,0,52.6,19,MORTGAGE,0
40,62300.0,6200.0,24,681.0,4,0,0,10.0,2,RENT,0
18,67600.0,1900.0,12,850.0,3,0,1,2.8,9,MORTGAGE,0
21,102400.0,21800.0,60,739.0,7,1,1,21.3,23,RENT,0
46,64100.0,14400.0,36,497.0,4,1,0,22.5,29,MORTGAGE,0
59,108300.0,13000.0,12,556.0,1,0,1,12.0,28,OTHER,0
44,66700.0,16800.0,60,650.0,4,0,0,25.2,2,OTHER,0
63,48600.0,14000.0,24,665.0,3,0,0,28.8,7,OTHER,0
29,75200.0,24700.0,60,613.0,3,1,1,32.8,21,OWN,1
20,69200.0,1000.0,36,698.0,0,0,0,1.4,17,RENT,0
28,96700.0,6100.0,36,742.0,1,0,0,6.3,17,MORTGAGE,0
73,104700.0,41400.0,60,702.0,3,0,0,39.5,16,RENT,0
19,65900.0,1000.0,60,656.0,5,0,0,1.5,10,RENT,0
49,53100.0,9800.0,60,850.0,4,0,0,18.5,20,MORTGAGE,0
31,70300.0,22100.0,12,620.0,0,0,0,31.4,10,OWN,0
45,25000.0,8800.0,60,677.0,0,0,0,35.2,11,RENT,0
29,62700.0,16400.0,36,541.0,1,0,1,26.2,6,RENT,0
55,81800.0,15800.0,36,674.0,2,0,0,19.3,24,RENT,0
57,56200.0,20100.0,48,722.0,2,0,0,35.8,24,OWN,0
31,96800.0,25300.0,48,784.0,2,0,0,26.1,4,OWN,0
67,30600.0,11800.0,36,730.0,5,0,0,38.6,0,MORTGAGE,0
38,61200.0,13500.0,36,701.0,4,0,2,22.1,4,RENT,0
54,64400.0,30800.0,60,614.0,5,0,0,47.8,12,MORTGAGE,0
71,45900.0,14400.0,36,647.0,2,0,0,31.4,7,MORTGAGE,0
74,90100.0,1000.0,48,684.0,3,0,1,1.1,19,RENT,0
57,61200.0,16900.0,48,780.0,7,0,0,27.6,14,MORTGAGE,0
41,8000.0,10400.0,60,651.0,2,0,0,130.0,13,MORTGAGE,0
65,8000.0,48600.0,36,620.0,2,1,2,607.5,10,MORTGAGE,1
53,62400.0,3100.0,36,807.0,4,0,0,5.0,11,RENT,0
25,48600.0,13500.0,48,712.0,4,1,0,27.8,1,MORTGAGE,0
50,51200.0,22600.0,60,704.0,1,0,0,44.1,19,MORTGAGE,0
49,32500.0,14400.0,60,788.0,0,0,0,44.3,10,MORTGAGE,0
47,93200.0,9400.0,36,829.0,2,0,0,10.1,18,MORTGAGE,0
31,79600.0,19600.0,48,642.0,6,1,0,24.6,6,OWN,0
31,41700.0,12000.0,36,685.0,1,1,0,28.8,9,MORTGAGE,0
33,82600.0,27000.0,36,595.0,6,0,0,32.7,24,RENT,0
39,124000.0,12300.0,60,630.0,2,0,0,9.9,11,RENT,0
74,110700.0,8800.0,36,727.0,3,0,0,7.9,19,RENT,0
55,55500.0,1000.0,48,780.0,2,0,0,1.8,27,RENT,0
45,127600.0,22700.0,36,767.0,4,0,1,17.8,2,MORTGAGE,0
69,73900.0,18600.0,48,602.0,10,0,0,25.2,2,OWN,0
23,50100.0,18000.0,48,591.0,3,0,0,35.9,27,RENT,0
48,76900.0,10500.0,48,654.0,3,0,0,13.7,15,RENT,0
31,67000.0,23600.0,36,649.0,2,0,0,35.2,16,OWN,0
65,76700.0,37300.0,36,669.0,3,1,0,48.6,13,OWN,0
71,80900.0,6100.0,48,729.0,1,0,0,7.5,8,MORTGAGE,0
71,69300.0,27700.0,60,707.0,5,0,0,40.0,18,MORTGAGE,0
21,38000.0,1000.0,36,702.0,2,0,0,2.6,4,MORTGAGE,0
67,23700.0,27900.0,36,687.0,2,0,1,117.7,17,OTHER,0
64,95500.0,14500.0,36,562.0,2,0,0,15.2,19,OWN,0
20,45200.0,2600.0,60,733.0,3,0,0,5.8,27,OWN,0
58,91000.0,1000.0,48,723.0,4,0,0,1.1,25,OTHER,0
37,111600.0,13400.0,60,704.0,6,0,0,12.0,19,RENT,0
36,102700.0,17300.0,24,671.0,2,0,0,16.8,8,OWN,0
42,58800.0,18400.0,36,532.0,3,1,1,31.3,23,OWN,1
19,76300.0,19000.0,60,655.0,2,0,0,24.9,24,RENT,0
46,63300.0,11800.0,48,744.0,5,0,1,18.6,5,MORTGAGE,1
